description,department,priority
"Water pipe leakage in my street",Water Supply,High
"No drinking water in my area",Water Supply,High
"Street lights not working",Electricity,Medium
"Power outage for 5 hours",Electricity,High
"Road potholes on main road",Roads & Infrastructure,Medium
"Traffic signal not functioning",Traffic,High
"Garbage not collected for 2 weeks",Sanitation,Medium
"Street cleaning not happening",Sanitation,Low
"Clinic closed during working hours",Health,Medium
"Lack of medicine at government hospital",Health,High
"School building maintenance required",Education,Medium
"Teacher absent for 3 days",Education,Low
"Traffic police not regulating rush hour",Traffic,Medium
"Robbery reported in neighborhood",Public Safety / Police,High
"Illegal encroachment on road",Public Safety / Police,Medium
"Contaminated water supply in our locality",Water Supply,High
"Water tank overflow causing property damage",Water Supply,Medium
"Low water pressure during peak hours",Water Supply,Medium
"Broken water meter not reading correctly",Water Supply,Low
"Water line burst near school",Water Supply,High
"Dirty water coming from taps",Water Supply,High
"Water shortage for past 3 days",Water Supply,High
"Municipal water connection not working",Water Supply,High
"Sewage mixing with drinking water",Water Supply,High
"Water bill incorrect for last month",Water Supply,Low
"Need new water connection for house",Water Supply,Low
"Underground water pipe making noise",Water Supply,Medium
"Water wastage from broken public tap",Water Supply,Medium
"No water supply on weekends",Water Supply,High
"Rusty water from overhead tank",Water Supply,Medium
"Water pump not functioning properly",Water Supply,Medium
"Illegal water connection in neighborhood",Water Supply,Medium
"Water tanker not coming as scheduled",Water Supply,High
"Leaking water main flooding street",Water Supply,High
"Water pressure too high damaging pipes",Water Supply,Medium
"Public hand pump broken",Water Supply,Medium
"Water connection cut without notice",Water Supply,High
"Uneven water distribution in area",Water Supply,Medium
"Water logging due to pipe leakage",Water Supply,Medium
"Need water pipeline extension",Water Supply,Low
"Frequent power cuts in locality",Electricity,High
"Transformer sparking dangerously",Electricity,High
"Street light poles damaged",Electricity,Medium
"Electricity meter faulty reading",Electricity,Medium
"No power for 12 hours",Electricity,High
"Electric pole leaning dangerously",Electricity,High
"Exposed electrical wires on road",Electricity,High
"Power fluctuation damaging appliances",Electricity,High
"Electricity bill too high unexpectedly",Electricity,Medium
"Need new electricity connection",Electricity,Low
"Power cut during exam season",Electricity,High
"Street lights on during daytime",Electricity,Low
"Illegal electricity theft in building",Electricity,Medium
"Transformer leaking oil",Electricity,High
"Electric shock from public pole",Electricity,High
"Unscheduled power maintenance",Electricity,Medium
"Power backup not working",Electricity,Medium
"Overhead cables hanging low",Electricity,High
"Junction box open and exposed",Electricity,High
"Voltage fluctuation issues",Electricity,Medium
"Need additional street lights",Electricity,Medium
"Power line fallen on road",Electricity,High
"Electricity supply interrupted frequently",Electricity,High
"Smart meter not installed yet",Electricity,Low
"Street light bulbs need replacement",Electricity,Low
"Power outage affecting business",Electricity,High
"Electric pole blocking pathway",Electricity,Medium
"Underground cable fault",Electricity,High
"Load shedding without notice",Electricity,High
"Electricity department not responding",Electricity,Medium
"Public park lights not working",Electricity,Medium
"Traffic lights flickering",Electricity,Medium
"Electric meter box damaged",Electricity,Medium
"Power supply unstable in area",Electricity,High
"Need solar street lights",Electricity,Low
"Transformer noise disturbing residents",Electricity,Medium
"Electricity connection delayed",Electricity,Medium
"Prepaid meter not accepting recharge",Electricity,High
"Power theft reported",Electricity,Medium
"Electric cable stolen from pole",Electricity,High
"Deep potholes on service road",Roads & Infrastructure,High
"Road completely damaged",Roads & Infrastructure,High
"Manhole cover missing on highway",Roads & Infrastructure,High
"Road construction incomplete for months",Roads & Infrastructure,Medium
"Speed breakers needed urgently",Roads & Infrastructure,Medium
"Footpath encroached by vendors",Roads & Infrastructure,Medium
"Bridge railing broken",Roads & Infrastructure,High
"Road width reduced illegally",Roads & Infrastructure,Medium
"Pavement tiles broken",Roads & Infrastructure,Low
"No pedestrian crossing available",Roads & Infrastructure,Medium
"Road divider damaged",Roads & Infrastructure,Medium
"Unmarked speed breakers dangerous",Roads & Infrastructure,High
"Road flooding during rain",Roads & Infrastructure,High
"Uneven road surface",Roads & Infrastructure,Medium
"Missing road signage",Roads & Infrastructure,Medium
"Footpath too narrow",Roads & Infrastructure,Low
"Pothole filled with dirty water",Roads & Infrastructure,High
"Road cave in near my house",Roads & Infrastructure,High
"Construction debris on road",Roads & Infrastructure,Medium
"No bus stop shelter",Roads & Infrastructure,Low
"Road repair work abandoned",Roads & Infrastructure,Medium
"Drainage cover broken on road",Roads & Infrastructure,High
"Zebra crossing faded",Roads & Infrastructure,Low
"Road accident prone area unmarked",Roads & Infrastructure,High
"Culvert damaged",Roads & Infrastructure,High
"Road tar melting in summer",Roads & Infrastructure,Medium
"Gravel road needs paving",Roads & Infrastructure,Medium
"Road width inadequate for traffic",Roads & Infrastructure,Medium
"Bike lane missing",Roads & Infrastructure,Low
"Road slope causing water stagnation",Roads & Infrastructure,Medium
"Flyover leaking water",Roads & Infrastructure,Medium
"Underground passage flooded",Roads & Infrastructure,High
"Road median encroached",Roads & Infrastructure,Medium
"Speed limit signs missing",Roads & Infrastructure,Medium
"School zone marking not visible",Roads & Infrastructure,High
"Road hump too high",Roads & Infrastructure,Medium
"Blind curve without warning sign",Roads & Infrastructure,High
"Footbridge stairs broken",Roads & Infrastructure,High
"Road shoulder eroded",Roads & Infrastructure,Medium
"Rumble strips needed on highway",Roads & Infrastructure,Medium
"Traffic signal malfunctioning at intersection",Traffic,High
"Heavy traffic jam daily",Traffic,Medium
"No traffic police during peak hours",Traffic,High
"Illegal parking blocking road",Traffic,Medium
"Traffic rules not enforced",Traffic,Medium
"Need traffic signal at busy crossing",Traffic,High
"One way road sign missing",Traffic,Medium
"Vehicles driving on wrong side",Traffic,Medium
"No parking signs ignored",Traffic,Low
"Traffic congestion near market",Traffic,Medium
"Speeding vehicles in residential area",Traffic,High
"No stop sign at intersection",Traffic,Medium
"Traffic warden absent",Traffic,Medium
"Pedestrians crossing dangerously",Traffic,Medium
"Traffic light stuck on red",Traffic,High
"Lane discipline not maintained",Traffic,Low
"Heavy vehicles in prohibited zone",Traffic,Medium
"Traffic mirror needed at blind spot",Traffic,Medium
"School zone speed limit violated",Traffic,High
"Traffic light timing inappropriate",Traffic,Medium
"Roundabout rules not followed",Traffic,Medium
"Auto rickshaws blocking traffic",Traffic,Medium
"Bus stop causing traffic holdup",Traffic,Medium
"Traffic bottleneck at bridge",Traffic,High
"No traffic diversion signs",Traffic,Medium
"Road rage incident frequent",Traffic,Medium
"Honking nuisance in residential area",Traffic,Low
"U-turn spot dangerous",Traffic,High
"Traffic camera not working",Traffic,Low
"Motorcycle riding on footpath",Traffic,Medium
"Public transport overcrowding",Traffic,Medium
"Drunk driving incidents increasing",Traffic,High
"Helmet rule not enforced",Traffic,Medium
"Triple riding on motorcycles",Traffic,Medium
"Traffic police booth unmanned",Traffic,Medium
"Parking lot full always",Traffic,Low
"Accident black spot area",Traffic,High
"Traffic snarl during events",Traffic,Medium
"No U-turn board missing",Traffic,Medium
"Toll plaza causing delays",Traffic,Medium
"Garbage bins overflowing",Sanitation,Medium
"Stray dogs in garbage dump",Sanitation,Medium
"Garbage truck not coming regularly",Sanitation,High
"Open garbage burning",Sanitation,High
"Littering on main road",Sanitation,Medium
"Public toilet not maintained",Sanitation,High
"Drain choked with garbage",Sanitation,High
"Garbage dump near residential area",Sanitation,High
"No dustbins on street",Sanitation,Medium
"Waste segregation not happening",Sanitation,Low
"Foul smell from garbage",Sanitation,High
"Plastic waste everywhere",Sanitation,Medium
"Garbage collection timing inconvenient",Sanitation,Low
"Sweeper not cleaning street daily",Sanitation,Medium
"Public urination problem",Sanitation,Medium
"Sanitation worker strike",Sanitation,High
"Garbage van broken down",Sanitation,Medium
"Medical waste mixed with regular trash",Sanitation,High
"Construction waste dumped illegally",Sanitation,Medium
"Dead animal on road",Sanitation,High
"Compost pit not maintained",Sanitation,Low
"Recycling bins not available",Sanitation,Low
"Garbage on beach area",Sanitation,High
"Public toilet locked",Sanitation,Medium
"Sanitation workers rude behavior",Sanitation,Low
"Need more garbage bins",Sanitation,Medium
"E-waste dumped in open",Sanitation,Medium
"Garbage dumped in park",Sanitation,High
"Drain cleaning required",Sanitation,High
"Litter on footpath",Sanitation,Medium
"Public spitting everywhere",Sanitation,Low
"Garbage collection charges too high",Sanitation,Low
"Sanitary napkin disposal issue",Sanitation,Medium
"Restaurant waste on street",Sanitation,Medium
"Garbage affecting tourism",Sanitation,Medium
"Slum sanitation poor",Sanitation,High
"Market area very dirty",Sanitation,High
"Garbage in children's park",Sanitation,High
"Street sweeping machine needed",Sanitation,Low
"Garbage creating mosquito breeding",Sanitation,High
"Doctor not available at health center",Health,High
"Ambulance service very slow",Health,High
"Hospital equipment not working",Health,High
"No beds available in government hospital",Health,High
"Vaccination drive not conducted",Health,Medium
"Medical staff shortage",Health,High
"Pharmacy closed at hospital",Health,Medium
"Long waiting time at OPD",Health,Medium
"Dirty conditions in hospital ward",Health,High
"Nurse rude behavior",Health,Medium
"Blood bank running low",Health,High
"X-ray machine broken",Health,High
"No emergency services at night",Health,High
"Dialysis unit not functioning",Health,High
"Free medicine scheme not implemented",Health,Medium
"Health checkup camp cancelled",Health,Low
"Mosquito fogging not done",Health,Medium
"TB clinic not operational",Health,High
"Maternity ward unhygienic",Health,High
"No pediatrician available",Health,High
"Health insurance scheme issue",Health,Medium
"Drinking water not available in hospital",Health,Medium
"Hospital canteen unhygienic",Health,Medium
"Physiotherapy center closed",Health,Medium
"Mental health facility lacking",Health,Medium
"Ambulance driver unprofessional",Health,High
"Hospital charging unofficially",Health,High
"Medical records lost",Health,Medium
"No handicap accessibility",Health,Medium
"Immunization schedule not followed",Health,High
"Ayush center not staffed",Health,Low
"Health awareness program needed",Health,Low
"COVID testing facility closed",Health,Medium
"Oxygen supply shortage",Health,High
"Pathology lab giving wrong reports",Health,High
"HIV testing center far away",Health,Medium
"Disease outbreak in locality",Health,High
"Hospital waste disposal improper",Health,High
"No specialist doctor available",Health,High
"Medical equipment outdated",Health,Medium
"Blood pressure monitoring camp needed",Health,Low
"School toilets not clean",Education,Medium
"Classrooms overcrowded",Education,Medium
"No drinking water in school",Education,High
"School building needs repair",Education,Medium
"Playground not maintained",Education,Low
"School bus service irregular",Education,Medium
"Textbooks not distributed on time",Education,Medium
"No library facility in school",Education,Low
"Computer lab not functional",Education,Medium
"School furniture broken",Education,Medium
"Teacher quality poor",Education,Medium
"Midday meal quality bad",Education,High
"School gate security lacking",Education,High
"No science laboratory",Education,Medium
"School fees too high",Education,Low
"Scholarship not received",Education,Medium
"School timing inconvenient",Education,Low
"No sports equipment",Education,Low
"Electricity not working in school",Education,High
"School compound wall broken",Education,Medium
"No fans in classroom",Education,Medium
"Blackboard not visible",Education,Low
"School admission process complicated",Education,Medium
"No special education facility",Education,Medium
"School dropout rate high",Education,Medium
"Exam schedule not announced",Education,Medium
"Result declaration delayed",Education,Low
"Teacher student ratio very high",Education,Medium
"No vocational training",Education,Low
"School cleanliness poor",Education,Medium
"Bullying incidents not addressed",Education,High
"No parent teacher meetings",Education,Low
"School uniform compulsion issue",Education,Low
